year,rating,title,imdb_id
1874,0,Passage de Venus,tt3155794
1877,0,La Rosace Magique,tt14495706
1878,0,Sallie Gardner at a Gallop,tt2221420
1878,0,Le singe musicien,tt12592084
1881,0,Athlete Swinging a Pick,tt7816420
1883,0,Buffalo Running,tt5459794
1885,0,L&#39;homme machine,tt8588366
1887,0,Man Walking Around the Corner,tt2075247
1887,0,Cockatoo Flying,tt8133192
1887,0,Child Carrying Flowers to Woman,tt7411790
1887,0,Jumping Over a Man&#39;s Back-Leapfrog,tt7541160
1887,0,Man Riding Jumping Horse,tt7754902
1887,0,Baboon Climbing a Pole,tt8361552
1888,0,Roundhay Garden Scene,tt0392728
1888,0,Accordion Player,tt1758563
1888,0,Traffic Crossing Leeds Bridge,tt0343112
1888,0,Pferd und Reiter Springen uber ein Hindernis,tt3274100
1888,0,Brighton Street Scene,tt2116853
1889,0,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",tt0466876
1889,0,Hyde Park Corner,tt2116898
1890,0,"Monkeyshines, No. 1",tt0361921
1890,0,"Monkeyshines, No. 2",tt0416046
1890,0,London&#39;s Trafalgar Square,tt1202028
1890,0,"Monkeyshines, No. 3",tt0416047
1890,0,Mosquinha,tt5285442
1890,0,"Traffic in King&#39;s Road, Chelsea",tt2116968
1891,0,Dickson Greeting,tt0241373
1891,0,Men Boxing,tt0241715
1891,0,Newark Athlete,tt0241763
1891,0,"Duncan and Another, Blacksmith Shop",tt0241393
1891,0,Duncan Smoking,tt0241392
1891,0,Duncan or Devonald with Muslin Cloud,tt0241394
1891,0,"Monkey and Another, Boxing",tt0241735
1891,0,Je vous aime,tt3201916
1891,0,La vague,tt3508566
1891,0,Two Fencers,tt5447082
1892,0,Pauvre Pierrot,tt0000003
1892,0,Un bon bock,tt0000004
1892,0,Le clown et ses chiens,tt0000002
1892,0,Fencing,tt0241446
1892,0,Le prince de Galles,tt0234520
1892,0,Wrestling,tt0242148
1892,0,Boxing,tt0241266
1893,0,Blacksmith Scene,tt0000005
1894,0,Annabelle Butterfly Dance,tt0229217
1894,0,Edison Kinetoscope Records: Annie Oakley,tt8419312
1894,0,Autour d&#39;une cabine,tt0000015
1894,0,"Barbershop, The",tt0229235
1894,0,Bucking Broncho,tt0309396
1894,0,Buffalo Dance,tt0309402
1894,0,Carmencita,tt0000001
1894,0,Edison Kinetoscopic Record of a Sneeze,tt0000008
1894,0,Dickson Experimental Sound Film,tt0177707
1894,0,Chinese Opium Den,tt0000006
1894,0,Corbett and Courtney Before the Kinetograph,tt0000007
1894,0,Falling Cat,tt2049440
1894,0,"Glenroy Bros., No. 2",tt0312728
1894,0,Glenroy Brothers,tt0256782
1894,0,Leonard-Cushing Fight,tt0203646
1894,0,"Luis Martinetti, Contortionist",tt0277115
1894,0,Sandow No. 2,tt2161519
1894,0,Sandow No. 3,tt2161521
1894,0,Reve au coin du feu,tt0413219
1894,0,Miss Jerry,tt0000009
1895,0,Tables Turned on the Gardener,tt0000014
1895,0,"Execution of Mary, Queen of Scots, The",tt0132134
1895,1,Akrobatisches Potpourri,tt0000011
1895,0,Annabelle Serpentine Dance,tt0154152
1895,0,Italienischer Bauerntanz,tt0000017
1895,1,Baby&#39;s Dinner,tt0000029
1895,0,Billy Edwards and the Unknown,tt0477266
1895,0,Blacksmith Scene,tt0000022
1895,0,Barque sortant du port,tt0000016
1896,0,"House of the Devil, The",tt0000091
1896,0,Une nuit terrible,tt0000131
1896,0,La fee aux choux,tt0223341
1896,0,"Arrival of a Train, The",tt0000012
1896,0,Sandow,tt1428455
1896,0,Alger: rue Bab-Azoun,tt1672718
