"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Passage de Venus","1874",1874-12-09,"N/A","1 min","Documentary, Short","P.J.C. Janssen","None","France",6.8,1897,"tt3155794","N/A"
"La Rosace Magique","1877",1877-01-03,"N/A","1 min","Short, Animation","Émile Reynaud","English","France",5.9,255,"tt14495706","N/A"
"Sallie Gardner at a Gallop","1878",1878-06-15,"TV-G","1 min","Documentary, Short","Eadweard Muybridge","None","United States",7.4,3438,"tt2221420","N/A"
"Le singe musicien","1878",1878-05-07,"N/A","1 min","Animation, Short","Émile Reynaud","None, French","France",6.1,340,"tt12592084","N/A"
"Athlete Swinging a Pick","1881",1881-01-01,"N/A","1 min","Documentary, Short","Eadweard Muybridge","None","United Kingdom",5.1,507,"tt7816420","N/A"
"Buffalo Running","1883",1883-11-19,"TV-G","1 min","Documentary, Short","Eadweard Muybridge","None","United States",6.3,1079,"tt5459794","N/A"
"L'homme machine","1885",NA,"N/A","1 min","Animation, Short","Étienne-Jules Marey","None","France",5.3,468,"tt8588366","N/A"
"Man Walking Around the Corner","1887",1890-12-13,"N/A","1 min","Documentary, Short","Louis Aimé Augustin Le Prince","None","United Kingdom",5.2,1489,"tt2075247","N/A"
"Cockatoo Flying","1887",1887-03-09,"N/A","N/A","Documentary, Short","Eadweard Muybridge","None","United States",5.3,203,"tt8133192","N/A"
"Child Carrying Flowers to Woman","1887",NA,"N/A","1 min","Short","Eadweard Muybridge","None","United Kingdom",6.2,370,"tt7411790","N/A"
"Jumping Over a Man's Back-Leapfrog","1887",NA,"N/A","1 min","Short, Sport","Eadweard Muybridge","None, English","United States",5.1,197,"tt7541160","N/A"
"Man Riding Jumping Horse","1887",NA,"N/A","N/A","Short","Eadweard Muybridge","None","N/A",5.4,124,"tt7754902","N/A"
"Roundhay Garden Scene","1888",1888-10-14,"Not Rated","1 min","Documentary, Short","Louis Aimé Augustin Le Prince","None","United Kingdom, France",7.3,6592,"tt0392728","N/A"
"Accordion Player","1888",NA,"N/A","1 min","Documentary, Short","Louis Aimé Augustin Le Prince","None","United Kingdom",5.5,1387,"tt1758563","N/A"
"Traffic Crossing Leeds Bridge","1888",1890-10-01,"N/A","1 min","Documentary, Short","Louis Aimé Augustin Le Prince","None","United Kingdom",6.6,3236,"tt0343112","N/A"
"Pferd und Reiter Springen über ein Hindernis","1888",1888-05-31,"N/A","1 min","Short","Ottomar Anschütz","None","Germany",5.7,390,"tt3274100","N/A"
"Brighton Street Scene","1888",NA,"N/A","N/A","Documentary, Short","William Friese-Greene","None","United Kingdom",5.6,150,"tt2116853","N/A"
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses","1889",1890-11-16,"N/A","1 min","Documentary, Short","William Friese-Greene","None","United Kingdom",5.2,471,"tt0466876","N/A"
"Hyde Park Corner","1889",NA,"N/A","1 min","Short","William Friese-Greene","None","United Kingdom",5.7,270,"tt2116898","N/A"
"Monkeyshines, No. 1","1890",1890-11-21,"Not Rated","1 min","Documentary, Short","William K.L. Dickson, William Heise","None","United States",4.9,1593,"tt0361921","N/A"
"Monkeyshines, No. 2","1890",1890-11-27,"N/A","1 min","Short","William K.L. Dickson, William Heise","None","United States",4.8,1165,"tt0416046","N/A"
"London's Trafalgar Square","1890",1890-01-01,"N/A","1 min","Documentary, Short","William Carr Crofts, Wordsworth Donisthorpe","None","United Kingdom",5.4,888,"tt1202028","N/A"
"Monkeyshines, No. 3","1890",1890-11-21,"N/A","1 min","Short","William K.L. Dickson, William Heise","None","United States",4.2,457,"tt0416047","N/A"
"Mosquinha","1890",1890-03-04,"N/A","1 min","Short","Étienne-Jules Marey","None","France",6.5,666,"tt5285442","N/A"
"Traffic in King's Road, Chelsea","1890",1890-01-01,"N/A","N/A","Short","William Friese-Greene","None","United Kingdom",4.8,206,"tt2116968","N/A"
"Dickson Greeting","1891",1891-05-20,"Not Rated","1 min","Short","William K.L. Dickson","None","United States",5.3,1524,"tt0241373","N/A"
"Men Boxing","1891",1891-06-01,"Not Rated","1 min","Documentary, Short, Action","William K.L. Dickson, William Heise","None, English","United States",4.7,1046,"tt0241715","N/A"
"Newark Athlete","1891",1891-05-01,"Not Rated","1 min","Documentary, Short","William K.L. Dickson","None, English","United States",4.9,1722,"tt0241763","N/A"
