index(discard),year,bechdel_rating,title,imdb_id
0,1874,0,Passage de Venus,3155794
1,1877,0,La Rosace Magique,14495706
2,1878,0,Sallie Gardner at a Gallop,2221420
3,1878,0,Le singe musicien,12592084
4,1881,0,Athlete Swinging a Pick,7816420
5,1883,0,Buffalo Running,5459794
6,1885,0,L&#39;homme machine,8588366
7,1887,0,Man Walking Around the Corner,2075247
8,1887,0,Cockatoo Flying,8133192
9,1887,0,Child Carrying Flowers to Woman,7411790
10,1887,0,Jumping Over a Man&#39;s Back-Leapfrog,7541160
11,1887,0,Man Riding Jumping Horse,7754902
12,1887,0,Baboon Climbing a Pole,8361552
13,1888,0,Roundhay Garden Scene,0392728
14,1888,0,Accordion Player,1758563
15,1888,0,Traffic Crossing Leeds Bridge,0343112
16,1888,0,Pferd und Reiter Springen uber ein Hindernis,3274100
17,1888,0,Brighton Street Scene,2116853
18,1889,0,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0466876
19,1889,0,Hyde Park Corner,2116898
20,1890,0,"Monkeyshines, No. 1",0361921
21,1890,0,"Monkeyshines, No. 2",0416046
22,1890,0,London&#39;s Trafalgar Square,1202028
23,1890,0,"Monkeyshines, No. 3",0416047
24,1890,0,Mosquinha,5285442
25,1890,0,"Traffic in King&#39;s Road, Chelsea",2116968
26,1891,0,Dickson Greeting,0241373
27,1891,0,Men Boxing,0241715
28,1891,0,Newark Athlete,0241763
29,1891,0,"Duncan and Another, Blacksmith Shop",0241393
30,1891,0,Duncan Smoking,0241392
31,1891,0,Duncan or Devonald with Muslin Cloud,0241394
32,1891,0,"Monkey and Another, Boxing",0241735
33,1891,0,Je vous aime,3201916
34,1891,0,La vague,3508566
35,1891,0,Two Fencers,5447082
36,1892,0,Pauvre Pierrot,0000003
37,1892,0,Un bon bock,0000004
38,1892,0,Le clown et ses chiens,0000002
39,1892,0,Fencing,0241446
40,1892,0,Le prince de Galles,0234520
41,1892,0,Wrestling,0242148
42,1892,0,Boxing,0241266
43,1893,0,Blacksmith Scene,0000005
44,1894,0,Annabelle Butterfly Dance,0229217
45,1894,0,Edison Kinetoscope Records: Annie Oakley,8419312
46,1894,0,Autour d&#39;une cabine,0000015
47,1894,0,"Barbershop, The",0229235
48,1894,0,Bucking Broncho,0309396
49,1894,0,Buffalo Dance,0309402
50,1894,0,Carmencita,0000001
51,1894,0,Edison Kinetoscopic Record of a Sneeze,0000008
52,1894,0,Dickson Experimental Sound Film,0177707
53,1894,0,Chinese Opium Den,0000006
54,1894,0,Corbett and Courtney Before the Kinetograph,0000007
55,1894,0,Falling Cat,2049440
56,1894,0,"Glenroy Bros., No. 2",0312728
57,1894,0,Glenroy Brothers,0256782
58,1894,0,Leonard-Cushing Fight,0203646
59,1894,0,"Luis Martinetti, Contortionist",0277115
60,1894,0,Sandow No. 2,2161519
61,1894,0,Sandow No. 3,2161521
62,1894,0,Reve au coin du feu,0413219
63,1894,0,Miss Jerry,0000009
64,1895,0,Tables Turned on the Gardener,0000014
65,1895,0,"Execution of Mary, Queen of Scots, The",0132134
66,1895,1,Akrobatisches Potpourri,0000011
67,1895,0,Annabelle Serpentine Dance,0154152
68,1895,0,Italienischer Bauerntanz,0000017
69,1895,1,Baby&#39;s Dinner,0000029
70,1895,0,Billy Edwards and the Unknown,0477266
71,1895,0,Blacksmith Scene,0000022
72,1895,0,Barque sortant du port,0000016
73,1896,0,"House of the Devil, The",0000091
74,1896,0,Une nuit terrible,0000131
75,1896,0,La fee aux choux,0223341
76,1896,0,"Arrival of a Train, The",0000012
77,1896,0,Sandow,1428455
78,1896,0,Alger: rue Bab-Azoun,1672718
79,1896,0,Lassage des boeufs pour le labour,1736599
80,1896,0,Lancement d&#39;un navire,0222137
81,1897,0,Bataille de neige,0000041
82,1898,0,Four Heads Are Better Than One,0135696
83,1898,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",0000211
84,1898,0,"Temptation of St. Anthony, The",0224240
85,1899,0,A Turn of the Century Illusionist,0000246
86,1899,3,Cinderella,0000230
87,1900,0,Sherlock Holmes Baffled,0291476
88,1900,0,"Enchanted Drawing, The",0000300
89,1900,0,Grandma&#39;s Reading Glass,0000304
90,1900,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272
91,1900,0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654
92,1900,0,Hamlet ( Le Duel d&#39;Hamlet),0000306
93,1900,0,"One-Man Band, The",0135453
94,1900,0,Grandma Threading Her Needle,0377995
95,1900,0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746
96,1900,0,Let Me Dream Again,0000313
97,1900,0,"Doctor and the Monkey, The",0227438
98,1901,0,L&#39;homme a la tete en caoutchouc,0000359
99,1901,0,Reve et realite,0258104
100,1901,0,Bluebeard,0131934
101,1902,0,Le voyage dans la lune,0000417
102,1902,0,Gulliver&#39;s Travels,0229024
103,1902,0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0367177
104,1902,0,Mephistopheles&#39; School of Magic,0000413
105,1903,0,"Great Train Robbery, The",0000439
106,1903,0,"Infernal Boiling Pot, The",0135180
107,1903,0,"Music Lover, The",0000455
108,1903,0,"Monster, The",0223755
109,1903,0,"Enchanted Well, The",0189498
110,1904,0,"Cook in Trouble, The",0215664
111,1904,0,"Living Playing Cards, The",0135179
112,1904,0,"Untamable Whiskers, The",0135631
113,1904,0,Le voyage a travers l&#39;impossible,0000499
114,1905,0,"Scheming Gambler&#39;s Paradise, The",0135690
115,1905,0,"Black Imp, The",0215575
116,1906,1,"Story of the Kelly Gang, The",0000574
117,1906,0,"Mysterious Retort, The",0216016
118,1906,0,Humorous Phases of Funny Faces,0000554
119,1906,0,"Hilarious Posters, The",0135122
120,1906,0,"400 Tricks of the Devil, The",0000567
121,1906,0,A Funny Shave,0449172
122,1906,0,"Consequence of Feminism, The",1260944
123,1907,0,"Eclipse: Courtship of the Sun and Moon, The",0215737
124,1907,0,Good Glue Sticks,0215817
125,1908,0,Unusual Cooking,1802750
126,1909,2,"Princess Nicotine; or, The Smoke Fairy",0001009
127,1909,0,"Devilish Tenant, The",0127948
128,1909,1,Le barometre de la fidelite,0277596
129,1910,3,Tilly the Tomboy Visits the Poor,0232821
130,1910,0,Mobilier fidele,0486978
131,1910,0,A Trip to Mars,1515725
132,1912,2,Cleopatra,0002101
133,1912,0,"Invaders, The",0002281
134,1912,0,Max and the Donkey,0277865
135,1913,0,"Voyage of the Bourrichon Family, The",0003512
136,1913,0,Suspense,0003424
137,1914,2,A Florida Enchantment,0003973
138,1915,2,"Birth of a Nation, The",0004972
139,1916,3,Gretchen the Greenhorn,0006745
140,1916,3,Lady Windermere&#39;s Fan,0279914
141,1916,0,"Vagabond, The",0007507
142,1916,0,Intolerance: Love&#39;s Struggle Throughout the Ages,0006864
143,1916,3,Snow White,0007361
144,1917,3,A Tale of Two Cities,0008652
145,1917,3,Rebecca of Sunnybrook Farm,0008499
146,1917,3,"Poor Little Rich Girl, The",0008443
147,1917,0,A Romance of the Redwoods,0008519
148,1917,2,"Raffles, the Amateur Cracksman",0008489
149,1918,3,Tarzan of the Apes,0009682
150,1918,3,Stella Maris,0009652
151,1918,0,Are Crooks Dishonest?,0008844
152,1918,3,Ich mochte kein Mann sein,0010281
153,1919,3,When the Clouds Roll by,0010879
154,1919,0,Broken Blossoms or The Yellow Man and the Girl,0009968
155,1920,0,"Cabinet of Dr. Caligari, The",0010323
156,1920,3,Pollyanna,0011588
157,1920,3,Within Our Gates,0011870
158,1921,3,Orphans of the Storm,0012532
159,1921,0,"Kid, The",0012349
160,1921,3,"Blot, The",0011979
161,1921,2,K&ouml;rkarlen (The Phantom Carriage),0012364
162,1922,2,"Nosferatu, eine Symphonie des Grauens",0013442
163,1922,2,"Phantom, The",0013496
164,1922,2,Nathan der Weise,0013428
165,1922,1,"Man from Beyond, The",0013367
166,1922,3,H&auml;xan: Witchcraft Through the Ages,0013257
167,1922,0,"Paleface, The",0012543
168,1922,1,Nanook of the North,0013427
169,1922,3,Foolish Wives,0013140
170,1922,3,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",0013086
171,1923,0,Safety Last!,0014429
172,1923,0,Why Worry?,0014611
173,1923,2,"Silent Command, The",0014469
174,1923,3,La souriante Madame Beudet,0013626
175,1923,0,Our Hospitality,0014341
176,1923,2,A Woman of Paris,0014624
177,1924,2,Die Nibelungen,0015175
178,1924,2,Kriemhild&#39;s Revenge,0015174
179,1924,0,"Thief of Bagdad, The",0015400
180,1924,0,Wild Oranges,0015498
181,1924,0,"Navigator, The",0015163
182,1924,0,Sherlock Jr.,0015324
183,1924,0,Girl Shy,0014945
184,1924,3,Manhandled,0015116
185,1924,0,"Great White Silence, The",1764657
186,1924,0,Help!,0013845
187,1924,3,Greed,0015881
188,1925,2,"Phantom of the Opera, The",0016220
189,1925,0,Battleship Potemkin,0015648
190,1925,0,"Gold Rush, The",0015864
191,1925,0,Go West,0015863
192,1925,0,"Freshman, The",0015841
193,1925,0,Seven Chances,0016332
194,1925,2,"Lost World, The",0016039
195,1925,2,"Big Parade, The",0015624
196,1925,0,Stachka,0015361
197,1926,1,"Temptress, The",0017449
198,1926,1,Flesh and the Devil,0016884
199,1926,0,"General, The",0017925
200,1926,0,For Heaven&#39;s Sake,0016895
201,1926,3,So&#39;s Your Old Man,0017410
202,1926,1,Die Abenteuer des Prinzen Achmed,0015532
203,1927,3,It,0018033
204,1927,1,Metropolis,0017136
205,1927,2,Abel Gance&#39;s Napoleon,0018192
206,1927,0,"Unknown, The",0018528
207,1927,2,Sunrise: A Song of Two Humans,0018455
208,1927,0,"Kid Brother, The",0018051
209,1927,0,Nevada,0018199
210,1927,3,My Best Girl,0018183
211,1927,1,Wings,0018578
212,1927,1,"Jazz Singer, The",0018037
213,1927,1,Downhill [When Boys Leave Home],0017825
214,1928,0,"Passion of Joan of Arc, The",0019254
215,1928,0,Speedy,0019412
216,1928,0,"Circus, The",0018773
217,1928,0,"Cameraman, The",0018742
218,1928,0,"Steamboat Bill, Jr.",0019421
219,1928,0,"Racket, The",0019304
220,1928,0,Beggars of Life,0018684
221,1928,1,"Power of the Press, The",0019290
222,1928,0,A Girl in Every Port,0018937
223,1928,3,"Patsy, The",0019258
224,1928,2,While the City Sleeps,0019571
225,1928,2,"Man Who Laughs, The",0019130
226,1928,1,"Crowd, The",0018806
227,1928,2,"Docks of New York, The",0018839
228,1928,2,Our Dancing Daughters,0019237
229,1929,0,Un chien andalou,0020530
230,1929,2,"Cocoanuts, The",0019777
231,1929,0,Welcome Danger,0020572
232,1929,3,Pandora&#39;s Box (Die B&uuml;chse der Pandora),0018737
233,1929,0,Man with a Movie Camera,0019760
234,1929,2,Blackmail,0019702
235,1929,0,Throw of the Dice,0020286
236,1929,3,Juno and the Paycock [The Shame of Mary Boyle],0021015
237,1929,3,Broadway Melody,0019729
238,1930,1,"Blue Angel, The",0020697
239,1930,0,All Quiet on the Western Front,0020629
240,1930,3,Anna Christie,0020641
241,1930,3,Ladies of Leisure,0021040
242,1930,0,L&#39;Age d&#39;Or,0021577
243,1930,1,Morocco,0021156
244,1930,3,Min and Bill,0021148
245,1930,2,Be Yourself,0020670
246,1930,3,"Bat Whispers, The",0020668
247,1930,3,Murder!,0021165
248,1930,3,Animal Crackers,0020640
249,1931,3,M,0022100
250,1931,3,M&auml;dchen in Uniform,0022183
251,1931,3,Night Nurse,0022208
252,1931,1,Frankenstein,0021884
253,1931,3,Anna Christie,0020642
254,1931,3,Mata Hari,0023196
255,1931,0,Tabu: A Story of the South Seas,0022458
256,1931,3,Indiscreet,0022000
257,1931,0,"Last Flight, The",0022054
258,1931,0,Pardon Us,0022251
259,1931,2,Dracula,0021814
260,1931,1,Monkey Business,0022158
261,1931,3,City Lights,0021749
262,1931,2,"Smiling Lieutenant, The",0022074
263,1931,3,"Cheat, The",0021735
264,1931,3,"Public Enemy, The",0022286
265,1931,3,La Chienne,0021739
266,1931,1,A Nous la Liberte,0022599
267,1931,1,Little Caesar,0021079
268,1931,3,"Skin Game, The",0022395
269,1931,2,Rich and Strange [East of Shanghai],0023395
270,1931,3,Dracula,0021815
271,1931,3,Cimarron,0021746
272,1931,1,Hyppolit a lakaj,0021985
273,1931,3,Skippy,0022397
274,1931,1,"Champ, The",0021730
275,1932,1,I Am a Fugitive from a Chain Gang,0023042
276,1932,3,Grand Hotel,0022958
277,1932,2,"Age of Consent, The",0022614
278,1932,1,Horse Feathers,0023027
279,1932,0,White Zombie,0023694
280,1932,1,Boudu Saved from Drowning,0022718
281,1932,1,"I Was Born, But...",0023634
282,1932,0,"Most Dangerous Game, The",0023238
283,1932,2,Freaks,0022913
284,1932,1,Island of Lost Souls,0024188
285,1932,3,"Old Dark House, The",0023293
286,1932,3,Merrily We Go to Hell,0023213
287,1932,2,"Girl from Calgary, The",0022940
288,1932,3,Vampyr,0023649
289,1932,3,Shanghai Express,0023458
290,1932,3,Three on a Match,0023590
291,1932,2,Love Me Tonight,0023158
292,1932,1,Scarface,0023427
293,1932,3,Red-Headed Woman,0023385
294,1932,1,"Death Kiss, The",0023935
295,1932,3,Thirteen Women,0023582
296,1932,1,"Blue Light (Das Blaue Licht), The",0022694
297,1932,0,Number 17,0023285
298,1932,3,"Bitter Tea of General Yen, The",0023814
299,1933,3,Footlight Parade,0024028
300,1933,3,Queen Christina,0024481
301,1933,1,"Private Life of Henry VIII., The",0024473
302,1933,0,King Kong,0024216
303,1933,3,Little Women,0024264
304,1933,3,Alice in Wonderland,0023753
305,1933,3,"Vampire Bat, The",0024727
306,1933,3,42nd Street,0024034
307,1933,3,Day of Reckoning,0023932
308,1933,1,Duck Soup,0023969
309,1933,3,Tomorrow at Seven,0024679
310,1933,3,Gold Diggers of 1933,0024069
311,1933,3,Female,0024008
312,1933,3,A Study in Scarlet,0024625
313,1933,0,"Peanut Vendor, The",0024432
314,1933,1,"Invisible Man, The",0024184
315,1933,3,Baby Face,0023775
316,1933,1,Design for Living,0023940
317,1933,3,Cavalcade,0023876
318,1933,1,"Kennel Murder Case, The",0024210
319,1933,2,She Done Him Wrong,0024548
320,1933,3,Sons of the Desert,0024601
321,1934,3,It Happened One Night,0025316
322,1934,1,"Cat&#39;s-Paw, The",0024961
323,1934,3,"Scarlet Empress, The",0025746
324,1934,1,"Painted Veil, The",0025617
325,1934,1,"Count of Monte Cristo, The",0025004
326,1934,1,Cleopatra,0024991
327,1934,1,Of Human Bondage,0025586
328,1934,0,L&#39;atalante,0024844
329,1934,0,"Lost Patrol, The",0025423
330,1934,3,Spitfire,0025822
331,1934,3,Maniac,0025465
332,1934,3,Anne of Green Gables,0024831
333,1934,2,Lost in the Stratosphere,0025424
334,1934,3,Search for Beauty,0025755
335,1934,3,Evelyn Prentice,0025091
336,1934,3,"Man Who Knew Too Much, The",0025452
337,1934,3,Imitation of Life,0025301
338,1934,0,Mystery Liner,0025543
339,1934,3,It&#39;s a Gift,0025318
340,1935,2,Top Hat,0027125
341,1935,3,"39 Steps, The",0026029
342,1935,2,Anna Karenina,0026071
